Timepoint	Euryarchaeota	Acidobacteria	Actinobacteria	Armatimonadetes	Bacteroidetes	BRC1	Chloroflexi	Cyanobacteria	Firmicutes	Fusobacteria	Gemmatimonadetes	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	SPAM	Spirochaetes	SR1	Synergistetes	Tenericutes	Thermi	TM7	Verrucomicrobia	WPS-2
34	0	0	0.00331924111666	0	0.570909472066	0	0	0	0.409699171937	0	0	0	0	0	0.000768666363858	0	0	0	0	0.012158904301	0	0	0.00314454421578	0
35	0	0	0.00252533223903	0	0.637456990436	0	0	0	0.349348148616	0	0	0	0	0	0.000378799835853	0	0	0	0	0.00921746267243	0	0	0.00107326620159	0
36	0	0	0.00279745796211	0	0.49040654362	0	0	0	0.488794964576	0	0	0	0	0	0.000790585945814	0	0	0	0	0.0135615896859	0	0	0.00364885821145	0
37	0	0	0.00119766715268	0	0.716126848573	0	0	0	0.261924599042	0	0	0	0	0	0.000598833576338	0	0	0	0	0.0178087898354	0	0	0.00234326182046	0
38	0	0	0.0018551480358	0	0.730777908696	0	0	0.000777156609591	0.237809922535	0	0	0	0	0	0.0171475845471	0	0	0	0	0.00995261851638	0	0	0.00167966105944	0
39	0	0	0.00027349695586	0	0.704861111111	0	0	0	0.28554271309	0	0	0	0	0	3.56735159817e-05	0	0	0	0	0.00826436453577	0	0	0.00102264079147	0
40	0	0	0.00202022494864	0	0.689736576286	0	0	0	0.290617303567	0	0	0	0	0	2.26991567264e-05	0	0	0	0	0.0144480132563	0	0	0.00315518278496	0
41	0	0	0.00396788493134	0	0.468716740548	0	0	0	0.512539136365	0	0	0	0	0	0.00151895595028	0	0	0	0	0.0122136458043	0	0	0.00104363640121	0
42	0	0	0.00781340032729	0	0.324037153986	0	0	0	0.634740820983	0	0	0	0	0	0.00217807177265	0	0	0	0	0.0256067485653	0	0	0.00562380436537	0
43	0	0	0.00475752165283	0	0.316935224513	0	0	0	0.616038060173	0	0	0	0	0	0.00022179588125	0	0	0	0	0.0514677342442	0	0	0.0105796635356	0
44	0	0	0.00336535728498	0	0.440350179069	0	0	0	0.521653118072	0	0	0	0	0	0.00104598942641	0	0	0	0	0.0284918424195	0	0	0.00509351372861	0
45	0	0	0.00398501834874	0	0.491367895381	0	0	0	0.475175605635	0	0	0	0	0	0.000252216351186	0	0	0	0	0.0226868607892	0	0	0.00653240349572	0
46	0	0	0.00287637698899	0	0.43917992656	0	0	0	0.518922888617	0	0	0	0	0	0.00416156670747	0	0	0	0	0.023782129743	0	0	0.0110771113831	0
47	0	0	0.00347955390334	0	0.532223048327	0	0	0	0.432520446097	0	0	0	0.000118959107807	0	0.0212936802974	0	0	0	0	0.00938289962824	0	0	0.000981412639405	0
48	0	0	0.00177907452544	0	0.583643188813	0	0	0	0.373160881709	0	0	0	0	0	0.00323791563629	0	0	0	0	0.0266327456457	0	0	0.0115461936701	0
49	0	0	0.000616033071249	0	0.610342871039	0	0	0	0.381502796466	0	0	0	0	0	6.48455864472e-05	0	0	0	0	0.00711680311258	0	0	0.00035665072546	0
50	0	0	0.00260429964765	0	0.547056120105	0	0	1.70215663245e-05	0.424262540639	0	0	0	0	0	0.0146725901717	0	0	0	0	0.00942994774379	0	0	0.00195748012732	0
51	0	0	0.00574462758739	0	0.462047248244	0	0	0	0.502509980632	0	0	0	0	0	0.000975005599695	0	0	0	0	0.024019394706	0	0	0.00470374323095	0
52	0	0	0.00887871651131	0	0.41300958636	0	0	0	0.535664134629	0	0	0	0	0	0.00217821563229	0	0	0	0	0.031180548645	0	0	0.00908879822205	0
53	0	0	0.00168876657494	0	0.517888416312	0	0	1.04244850304e-05	0.469852389292	0	0	0	0	0	7.2971395213e-05	0	0	0	0	0.00991368526394	0	0	0.000573346676674	0
54	0	0	0.00338673197942	0	0.390716369986	0	0	0	0.566017836007	0	0	0	0	0	0.00278907339482	0	0	0	0	0.0345704475408	0	0	0.00251954109196	0
56	0	0	0.00161364684186	0	0.507947962395	0	0	1.00226511917e-05	0.478351073426	0	0	0	0	0	0.000681540281036	0	0	0	0	0.00903040872372	0	0	0.00236534568124	0
57	0	0	0.000157360539222	0	0.717957460201	0	0	0	0.278160979832	0	0	0	0	0	2.6226756537e-05	0	0	0	0	0.00335702483673	0	0	0.000340947834981	0
58	0	4.18235048097e-05	0.00117105813467	0	0.578837306566	0	0	0	0.409159347553	0	0	0	0	0	0.00322040987035	0	0	0	0	0.00568799665412	0	0	0.0017147636972	0.000167294019239
59	0	0	0.00468289735391	0	0.378055842292	0	0	0	0.590523427075	0	0	0	0	0	0.000881190362295	0	0	0	0	0.0186560588132	0	0	0.00720058410333	0
60	0	0	0.000656439182125	0	0.600252850648	0	0	2.43125623009e-05	0.388125744572	0	0	0	0	0	0.00204225523328	0	0	0	0	0.00690476769347	0	0	0.00199363010868	0
61	0	0	0.0021831050648	0	0.489314275209	0	0	0	0.489521095689	0	0	0	0	0	0.00238992554463	0	0	0	0	0.0114210864969	0	0	0.00517051199559	0
62	0	0	0.00593635839262	0	0.425687367814	0	0	0	0.540304749087	0	0	0	0	0	0.00797923476255	0	0	0	0	0.0180253797347	0	0	0.00206691020957	0
63	0	0	0.00572043010752	0	0.403849462366	0	0	2.15053763441e-05	0.564903225807	0	0	0	0	0	0.00320430107527	0	0	0	0	0.0156344086021	0	0	0.00666666666667	0
64	0	0	0.00286885245902	0	0.527846083789	0	0	0	0.445218579235	0	0	0	0	0	0.00061475409836	0	0	0	0	0.0178734061931	0	0	0.00557832422586	0
65	0	0	0.00767494356659	0	0.489691497366	0	0	0	0.487524454477	0	0	0	0	0	0.00102332580888	0	0	0	0	0.00908954100828	0	0	0.00499623777277	0
66	0	0	0.00584220268394	0	0.545869967608	0	0	0	0.412135585377	0	0	0	0	0	0.00442503470616	0	0	0	0	0.0264634428505	0	0	0.00526376677465	0
67	0	0	0.00674041677387	0	0.455955749936	0	0	0	0.519835348598	0	0	0	0	0	0.00532544378699	0	0	0	0	0.00928736815024	0	0	0.00285567275534	0
68	0	0	0.00407670583948	0	0.358294616016	0	0	0	0.619704837387	0	0	0	0	0	0.00323403480004	0	0	0	0	0.0124350915551	0	0	0.00225471440285	0
69	0	0	0.00486459487046	0	0.393402393207	0	0	0	0.586313983539	0	0	0	0	0	0.00102069624514	0	0	0	0	0.0118357330554	0	0	0.00256259908354	0
70	0	0	0.00194860723648	0	0.558745601614	0	0	0	0.428651535755	0	0	0	0	0	0.000672900340656	0	0	0	0	0.00925237968402	0	0	0.000728975369044	0
71	0	0	0.00500095681571	0	0.528468456975	0	0	0	0.458442304012	0	0	0	0	0	0.000854755374115	0	0	0	0	0.00502647190151	0	0	0.00220705492122	0
72	0	0	0.00539123083957	0	0.470986552114	0	0	0	0.502479966186	8.6259693433e-06	0	0	0	0	0.00310534896359	0	0	0	0	0.00862596934331	0	0	0.0094023065842	0
73	0	0	0.00362357293388	0	0.474475794836	0	0	0	0.511969919796	0	0	0	0	0	6.06455721152e-05	0	0	0	0	0.00674681989781	0	0	0.00312324696393	0
75	0	0	0.000699391691877	0	0.606535246088	0	0	0	0.384079893302	0	0	0	0	0	0.000992160307082	0	0	0	0	0.0044728538434	0	0	0.00322045476725	0
76	0	0	0.00144536519561	0	0.546556818911	0	0	0	0.434011049014	0	0	0	0	0	0.00102781525021	0	0	0	0	0.0113862658187	0	0	0.00557268580973	0
77	0	0	0.000647351385489	0	0.580705770901	0	0	0	0.408415568011	0	0	0	0	0	6.31562327308e-05	0	0	0	0	0.00906291939686	0	0	0.00110523407279	0
78	0	0	0.000788506360231	0	0.75505281833	0	0	0	0.237224457612	0	0	0	0	0	0.00158860840223	0	0	0	0	0.00478901657023	0	0	0.000556592724869	0
89	0	0	0.00189953804134	0	0.592655868899	0	0	2.24797401342e-05	0.334015218784	0	0	0	0	0	0.00133754453799	0	0	0	0	0.0371028110915	0	0	0.0329665389068	0
92	0	0	0.0022241762789	0	0.663476956498	0	0	0	0.316029586717	0	0	0	0	0	3.10350178452e-05	0	0	0	0	0.00680701391404	0	0	0.011431231573	0
93	0	0	0.00258818064174	0	0.568794173276	0	0	8.2954507748e-06	0.409986063643	0	0	0	0	0	0.00189965822743	0	0	0	0	0.0108421541627	0	0	0.00588147459933	0
94	0	0	0.00757716106562	0	0.515728630183	0	0	0	0.444773796732	0	0	0	0	0	0.00285301419096	0	0	0	0	0.0157101041165	0	0	0.0133572937123	0
95	0	0.0015535187199	0.00277044171716	0	0.68212417793	0	0	0	0.264874941743	0	0	0	0	0	0.025969654601	0	0	0	0	0.0160530267723	0	0	0.00665423851691	0
96	0	0	0.00542988238594	0	0.487367007954	0	0	0	0.477849686429	0	0	0	0	0	0.00675228916628	0	0	0	0	0.0126430102787	0	0	0.00995812378529	0
97	0	0	0.00881459532994	0	0.369094873372	0	0	0	0.588472074691	0	0	0	0	0	0.00829280110322	0	0	0	0	0.0189336762266	0	0	0.00639197927731	0
98	0	0	0.001059574008	0	0.657519731863	0	0	2.1623959347e-05	0.330954697805	0	0	0	0	0	0.00112444588604	0	0	0	0	0.00648718780409	0	0	0.00283273867445	0
99	0	0	0.00185543467919	0	0.548003425418	0	0	1.58584160614e-05	0.429620349519	0	0	0	0	0	0.00348885153351	0	0	0	0	0.0123219892797	0	0	0.00469409115418	0
100	0	0	0	0	0.000326264274062	0	0	0	0.145024469821	0	0	0	0	0	0.854649265905	0	0	0	0	0	0	0	0	0
101	0	0	0.000527281547255	0	0.71490941303	0	0	0	0.281737076329	0	0	0	0	0	0.00151857085609	0	0	0	0	0.000653829118596	0	0	0.000653829118596	0
102	0	0	0.000287120590648	0	0.818949958983	0	0	0	0.175594749795	0	0	0	0	0	0.000369155045119	0	0	0	0	0.00287120590648	0	0	0.00192780968007	0
103	0	0	0.00151679306609	0	0.769577464788	0	0	0	0.221668472373	0	0	0	0	0	4.33369447454e-05	0	0	0	0	0.00316359696642	0	0	0.00403033586132	0
104	0	0	0.00398799941461	0	0.629920971754	0	0	0	0.336693253329	0	1.82935752964e-05	0	0	0	0.00482950387823	0	0	0	0	0.00781135665155	0	0	0.0167386213962	0
105	0	0	0.00233397445594	0	0.91552309122	0	0	0	0.06993279018	0	0	0	0	0	0.00795280184988	0	0	0	0	0.00179370259115	0	0	0.0024636397035	0
106	0	0	0.000116385643831	0	0.736473805956	0	0	0	0.249749043456	0	0	0	0	0	0.00999461716397	0	0	0	0	0.00122204926022	0	0	0.00244409852045	0
108	0	0	0.002700825681	0	0.752666100779	0	0	0.0059726830774	0.159410448337	0	0	0	0	0	0.0759163515704	0	0	0	0	0.0013426961957	0	0	0.00199089435913	0
109	0	0	0.00430975437561	0	0.556179597686	0	0	0	0.419574082465	0	0	0	0	0	0.00244465284876	0	0	0	0	0.00840876281598	0	0	0.00908314980875	0
110	0	0	0.00188368259948	0	0.548112393061	0	0	3.92433874892e-05	0.431402558669	0	0	0	0	0	0	0	0	0	0	0.0114983125343	0	0	0.00706380974806	0
111	0	0	0	0	0.0138787436085	0	0	0	0.0379839298758	0	0	0	0	0	0.947406866326	0	0	0	0	0	0	0	0.00073046018992	0
112	0	0	0	0	0.00126422250316	0	0	0	0.142857142857	0	0	0	0	0	0.855878634639	0	0	0	0	0	0	0	0	0
113	0	0	0.0288054221971	0	0.175939000283	0	0	0.0115786500988	0.00367127929964	0	0	0	0	0	0.779723242022	0	0	0	0	0.000282406099972	0	0	0	0
114	0	0	0.00419111483655	0	0.339340597932	0	0	0	0.46563285834	0	0	0	0	0	0.176306230791	0	0	0	0	0.003632299525	0	0	0.010896898575	0
115	0	0	0.000379971291058	0	0.803343747361	0	0	0	0.193954234569	0	0	0	0	0	4.22190323398e-05	0	0	0	0	0.000675504517437	0	0	0.00160432322891	0
116	0	0	0.00229879665032	0	0.560624897375	0	0	0	0.394923881682	0	0	0	0	0	0.0361943186883	0.00143088362928	0	0	0	0.0020173113462	0	0	0.00250991062842	0
118	0	0	9.95941538232e-05	0	0.771767547244	0	0	2.48985384558e-05	0.217912008565	0	0	0	0	0	0.00764385130594	0	0	0	0	0.000672260538307	0	0	0.00187983965341	0
119	0	0	0.000131082743461	0	0.659618448384	0	0	3.02498638756e-05	0.335773489019	0	0	0	0	0	0	0	0	0	0	0.00147216004195	0	0	0.00297456994776	0
120	0	0	0.00115501519757	0	0.782145028224	0	0	0	0.212158054711	0	0	0	0	0	0.000356057316544	0	0	0	0	0.00120712114633	0	0	0.00297872340426	0
121	0	0	0.00120162253771	0	0.711193843247	0	0	6.9457950157e-06	0.271775067374	0	0	0	0	0	0.0058414136082	0	0	0	0	0.00229211235518	0	0	0.00768899508238	0
