Timepoint	Euryarchaeota	Acidobacteria	Actinobacteria	Armatimonadetes	Bacteroidetes	BRC1	Chloroflexi	Cyanobacteria	Firmicutes	Fusobacteria	Gemmatimonadetes	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	SPAM	Spirochaetes	SR1	Synergistetes	Tenericutes	Thermi	TM7	Verrucomicrobia
69	0.0	0.0	0.0111726169316	0.0	0.204966736072	0.0	0.0	0.000253923112082	0.714031791174	0.0	0.0	0.0	0.0	0.0	0.042811436697	0.0	0.0	0.0	0.0	0.0267634960134	0.0	0.0	0.0
70	0.0	0.0	0.0589367039283	0.0	0.388385572685	0.0	0.0	0.0	0.483305326222	0.0	0.0	0.0	0.0	0.0	0.0158788144468	0.0	0.0	0.0	0.0	0.0534935827184	0.0	0.0	0.0
72	0.0	0.0	0.0464358321983	0.0	0.133715705345	0.0	0.0	3.99413660746e-06	0.735727951367	3.99413660746e-06	0.0	0.0	0.0	0.0	0.0267886742262	0.0	0.0	0.0	0.0	0.0573238485903	0.0	0.0	0.0
73	0.0	0.0	0.0102108708483	0.0	0.452138219671	0.0	0.0	0.0	0.442431721844	0.000193164135859	0.0	0.0	0.0	0.0	0.0714331705747	0.0	0.0	0.0	0.0	0.0235821215861	0.0	1.0731340881e-05	0.0
74	0.0	0.0	0.00647120972002	0.0	0.356594470857	0.0	0.0	0.0	0.464527205494	8.80436696602e-06	0.0	0.0	0.0	0.0	0.122873745378	0.0	0.0	0.0	0.0	0.0495157598169	0.0	0.0	8.80436696602e-06
74	0.0	0.0	0.00357079778534	0.0	0.609139706503	0.0	0.0	1.53582700445e-05	0.374457661089	0.0	0.0	0.0	0.0	0.0	8.44704852446e-05	0.0	0.0	0.0	0.0	0.00752555232179	0.0	0.0	0.00520645354508
75	0.0	0.0	0.0188413538581	0.0	0.211333948429	0.0	0.0	0.00320497256349	0.635021609285	0.0	0.0	0.0	0.0	4.85601903559e-05	0.098771427184	0.0	0.0	0.0	0.0	0.029476035546	0.0	0.00024280095178	0.00305929199243
76	0.0	0.0	0.0229826215816	2.69432843864e-05	0.276923076923	0.0	0.000808298531591	0.0	0.604903677758	0.0	0.00029637612825	0.0	0.0	0.000134716421932	0.0516502761686	0.0	0.0	0.0	0.0	0.0351070995554	0.0	0.000781355247205	0.00638555839957
77	0.0	0.0	0.00738253648266	0.0	0.126459478613	0.0	0.0	3.44013815595e-05	0.704946230641	0.000206408289357	0.0	0.0	0.0	0.0	0.0971701423529	0.0	0.0	0.0	0.0	0.0638008022402	0.0	0.0	0.0
78	0.0	0.0	0.00171164281292	0.0	0.397246804326	0.0	0.0	0.0	0.498670745475	0.0	0.0	0.0	0.0	0.0	0.0890054262719	0.0	0.0	0.0	0.0	0.0133289631815	0.0	3.64179321898e-05	0.0
79	0.0	0.0	0.00449162923642	0.0	0.0984950125416	0.0	0.0	0.0	0.671586070116	0.0	0.0	0.0	0.0	0.0	0.176486029283	0.0	0.0	0.0	8.74992708394e-05	0.048853759552	0.0	0.0	0.0
79	0.0	0.0	0.00274425773467	0.0	0.361978872975	0.0	0.0	0.0	0.470696590354	0.0471410849216	0.0	0.0	0.0	0.0	0.111762715687	0.0	0.0	0.0	0.0	0.00567647832788	0.0	0.0	0.0
80	0.0	0.0	0.00242297337721	0.0	0.217888124439	0.0	0.0	5.98265031408e-05	0.377415495064	0.000119653006282	0.0	0.0	0.0	0.0	0.373975471134	0.0	0.0	0.0	0.000777744540832	0.0273407119354	0.0	0.0	0.0
81	2.95292302468e-05	0.0	0.00658501834504	0.0	0.0284883248806	0.0	0.0	0.0	0.557652130903	8.12053831787e-05	0.0	0.0	0.0	0.0	0.289858924102	0.0	0.0	0.0	0.00122546305524	0.1160794041	0.0	0.0	0.0
82	0.0	0.0	0.00096484823198	0.0	0.262588661729	0.0	0.0	0.0	0.367118233024	0.00283587149264	0.0	0.0	0.0	0.0	0.301371649108	0.0	0.0	0.0	0.000110827161782	0.0650099092522	0.0	0.0	0.0
84	0.0	0.0	0.0268193359843	0.0	0.0694773151919	0.0	0.0	2.87452690078e-05	0.601724716141	0.00025870742107	0.0	0.0	0.0	0.0	0.120634312269	0.0	0.0	0.0	0.0	0.181056867724	0.0	0.0	0.0
84	0.0	0.0	0.0382597931223	0.0	0.256047921781	0.0	0.0	4.19630305701e-05	0.68494156648	0.0	0.0	0.0	0.0	0.0	0.00340949623382	0.0	0.0	0.0	0.0	0.0172992593525	0.0	0.0	0.0
84	0.0	0.000482658760256	0.000732607046817	0.0	0.293965041715	0.0	0.0	8.61890643315e-06	0.260032407088	0.0124974143281	0.0	0.0	0.0	0.0	0.385015169275	0.0	0.0	0.0	0.0	0.0472660828794	0.0	0.0	0.0
85	0.0	0.0	0.000209358316759	0.0	0.371388569036	0.0	0.0	0.0	0.357950382079	0.0234743012666	0.0	0.0	0.0	0.0	0.225858369099	0.0	0.0	0.0	2.61697895949e-05	0.0210928504135	0.0	0.0	0.0
87	0.0	0.0	0.000813338755592	0.0	0.388194968919	0.0	0.0	0.0	0.320382850171	0.0352204728984	0.0	0.0	0.0	0.0	0.245119967467	0.0	0.0	0.0	0.0	0.0102393539766	0.0	2.90478126997e-05	0.0
88	0.0	0.0	0.00135814598625	0.0	0.426226665896	0.0	0.0	9.6322410372e-06	0.34036486929	0.0188599279508	0.0	0.0	0.0	0.0	0.201477585776	0.0	0.0	0.0	0.0	0.0116839083781	0.0	1.92644820744e-05	0.0
89	0.0	0.0	0.0	0.0	0.0088573959256	0.0	0.0	0.0	0.0159433126661	0.00088573959256	0.0	0.0	0.0	0.0	0.972542072632	0.0	0.0	0.0	0.0	0.00177147918512	0.0	0.0	0.0
90	0.0	0.0	0.0215859506298	0.0	0.136454045053	0.0	0.0	2.31278042463e-05	0.59337465501	0.00117951801656	0.0	0.0	0.0	0.0	0.14627565259	0.0	0.0	0.0	0.0	0.101045376752	0.0	6.16741446567e-05	0.0
