Timepoint	Acidobacteriales	Actinomycetales	Bifidobacteriales	Coriobacteriales	Bacteroidales	Flavobacteriales	Sphingobacteriales	mle1-12	YS2	Stramenopiles	Streptophyta	Bacillales	Lactobacillales	Turicibacterales	Clostridiales	Fusobacteriales	Caulobacterales	Rhizobiales	Rhodobacterales	Rhodospirillales	Sphingomonadales	Burkholderiales	Neisseriales	Rhodocyclales	Desulfovibrionales	MIZ46	Myxococcales	Campylobacterales	Aeromonadales	Enterobacteriales	Pasteurellales	Pseudomonadales	Xanthomonadales	Erysipelotrichales	RF39	Verrucomicrobiales
223	0	0.00023976982097185	0.0627397698209725	0.00174689440994048	0.286844629156107	1.14176105224548e-05	0	0	0	0	0	0	0.00460129704055917	1.14176105224548e-05	0.592870843989682	1.14176105224548e-05	0	0	0	0	0.000833485568140098	0.00258037997808058	0	0	0.00226068688344944	0	0	0	0	0.00052521008403372	0.00135869565217482	0.000822067957618344	0	0.0425420168067023	0	0
224	0	0.000503478108978229	0.140501217595066	0.00348324650904832	0.056029920984757	0	0	0	0	0	0	2.0550126897042e-05	0.00245574016419622	0.00130493305796427	0.736321321784094	0	0	0	0	0	0	0.00010275063448521	1.0275063448521e-05	0	0.000133575824830673	0	0	0	0	0.00081173001243386	0.000863105329674965	7.19254441396471e-05	0	0.0573862293599853	0	0
225	0	0.000509033603190902	0.109470116937935	0.00176418495352554	0.108591510992926	0	0	0	0	0	0	0	0.0211702194423465	0.000132488198091112	0.710513287172041	2.78922522296919e-05	0	0	0	0	0.000522979729306598	0.00212678423251363	2.09191891722439e-05	0	1.39461261147959e-05	0	0	7.67036936315277e-05	0	0.00113660927835922	0.00526466260834522	2.09191891722439e-05	0.000599683422936926	0.0380380589781607	0	0
226	0	0.000419447378079046	0.136103184055232	0.00391733890599801	0.193380221558467	0	0	0	0	0	0	0.000381996719321471	0.00304099349106834	0.000299605270056605	0.635312975154616	0	0	0	0	0	0	0.00136320397875615	0	0	0.000344546060564895	0	0	7.49013175141512e-06	0	0.00946752653378591	0.000172273030282448	0.000606700671864924	0	0.0151824970601555	0	0
227	0	0.00027915921380459	0.172282591838317	0.0019334360363526	0.272955675720132	2.06784602819252e-05	0	0	0	0	0	0	0.00294668059016734	5.1696150704613e-05	0.515586389437518	0	0	0	0	0	0	0.00247107600368226	1.03392301409626e-05	0	0.00535572121299502	0	0	2.06784602818252e-05	0	0.0131618399693808	1.03392301409626e-05	0.000444586896059791	0	0.0124691115500397	0	0
228	0	0.000140985393913103	0.131548771547064	0.00308288061357626	0.407551177698187	0	0	0	0	0	0	0	0.00566761283531816	0	0.426292836062153	0	0	0	0	0	0	0.00570520894036018	9.39902626088689e-06	0	0.00773539861270967	0	0	0	0	0.00348703874279056	9.39902626088689e-05	6.57931838262482e-05	0	0.00861890708123232	0	0
232	0	0.00026078482506873	0.0953854811479932	0.00142745377932368	0.131428689075429	6.862758554425e-06	0	0	0	0	0	2.0588275663305e-05	0.032982417612588	0.00080980550942253	0.680806236875522	0	0	0.000130392412534365	0	6.862758554425e-06	0	0.00052156965013646	6.862758554425e-06	6.862758554425e-06	3.4313792772175e-05	0	0	1.372551710887e-05	0	0.0215490618608719	0.0016470620530604	0.000267647583623065	0	0.0326873189946646	0	0
233	0	0.000144560509280924	0.0535998243857034	0.00210415852398644	0.198845657562426	5.35409293634754e-06	0	0	0	0	0	5.35409293634754e-06	0.0118807322257116	5.35409293634754e-06	0.622755965798726	0	0	1.07081858727351e-05	0	0	0.000112435951663718	0.000733510732278353	1.60622788090026e-05	1.07081858727351e-05	0.000219517810390069	0	0	1.07081858727351e-05	0	0.0544564792555022	0.000899487613305746	0.00376928142718475	0	0.0504141390886047	0	0
234	0	0.000373582004843001	0.0536808603879327	0.00363524027788555	0.185792388984978	1.43685386478231e-05	0	0	0	0	0	0.000632215700501617	0.0262153987628622	3.59213466194078e-05	0.525586775197042	0	0	0.00064658423914954	0.000438240428757155	0	0.000761532548331925	0.00148714375004954	0	1.43685386478231e-05	7.18426932389155e-06	0	0	1.43685386478231e-05	0	0.150359572679998	2.87370772955462e-05	0.0156401543180988	0	0.0346353624103871	0	0
235	0	0.000376235591886665	0.0244895167082971	0.00362554297636114	0.00807196360775537	3.42032356260787e-05	0	0	0	0	0	0	0.00731949242398004	0	0.862024147484414	0	0	0	0	0	0	3.42032356260787e-05	0	0	3.42032356260787e-05	0	0	3.42032356260787e-05	6.84064712521573e-05	0.00564353387829998	0.000307829120634908	0.000342032356260787	0	0.0875944864383533	0	0
236	0	0.000520751144074968	0.0332965125453034	0.00181473883540625	0.0119457156383267	4.73410130978152e-05	0	0	0	0	0	1.57803376992717e-05	0.0334385355846828	0	0.803629477670717	0	0	0	1.57803376992717e-05	0	0	0.000236705065489076	9.46820261954305e-05	1.57803376992717e-05	0.000205144390090533	0	0	6.3121350796987e-05	1.57803376992717e-05	0.00157803376992717	0.0179106832886634	0.000378728104781522	0	0.0947767082216501	0	0
237	0	0.000531714177899996	0.0194161435285271	0.000840451442489123	0.225875613186718	3.4304140509703e-05	0	0	0	0	0	0	0.00382491166683468	0.000617474529175254	0.68375012864043	0	0	0.000102912421528709	0	0	0	0.0028300915920545	0	0	0	0	0	0	0	0.000823299372233672	0.00137216562038612	0.000154368632294063	0	0.0598264210489188	0	0
238	0	0.000236663984475136	0.055592369953218	0.00203531026647797	0.273630898849772	0	0	0	0	0	0	0	0.00253230463387805	0.000189331187579508	0.623088938325323	0	0	0	0	2.36663984475136e-05	0	0.00132531831306356	0	0	0.000354995976712203	0	0	2.36663984475136e-05	0	0.000899323141004915	0.00203531026648797	2.36663984475136e-05	0	0.0380082359066646	0	0
239	0	0.000391411317378352	0.0451940281815458	0.00391411317378352	0.274463207336608	0	0	0	0	0	0	0	0.0170683292328199	0.000670990829791747	0.552644822187116	0	0	0.000726906732275226	0	0	0	0.00176135092820759	1.39789756206697e-05	0	0.000419369268620092	0	0	1.39789756206697e-05	1.39789756206697e-05	0.000810780585998444	0.00504641019905197	0.00173339297695985	0.000559159024826789	0.0945537910981548	0	0
240	0	0.000139909059111727	0.0685554389646663	0.00222455403986766	0.269366911507789	0	0	0	0	0	0	0	0.00535851696397355	0.0003077999300454	0.576915005246305	0	0	0.000237845400489536	0	0	0	0.00159496327386889	0	0	0.000629590766001772	0	0	0	0	0.000223854494578563	0.00109129066107187	0.0010772997551639	0	0.072277019937067	0	0
241	0	0.000115619188931122	0.015512241181643	0.000693715133588731	0.483018431625807	0	0	0	0	0	0	0	0.00859435971057439	2.89047972328304e-05	0.456397113374141	0	0	0	0	0	0	0.00439352917939063	1.9269864821887e-05	0	0.00708167532204746	0	0	9.63493241095348e-06	0	0.000790064457698166	0.000375762364027396	5.78095944656609e-05	0	0.0229118692732188	0	0
242	0	0.000237191650853817	0.0552872175264042	0.00120752113162398	0.253363808866736	1.07814386751462e-05	0	0	0	0	1.07814386751462e-05	1.07814386751462e-05	0.0122045885802591	0.00065766775918572	0.554446265309494	2.15628773503925e-05	0	0	0	1.07814386751462e-05	0	0.000711574952561451	0	0	0.000420476108331903	0	0	3.23443160255387e-05	0	0.0018651888908107	0.0469639468690257	0.000118595825427409	0	0.0724189235812088	0	0
243	0	0.000295720501880086	0.0776477546365006	0.00304169659076289	0.369650627350358	0	0	0	0	0	0	0	0.00430907017024325	0.000211228929914061	0.491022770478256	0	0	0	0	0	0	0.000464703645811135	0	0	0.00126737357949037	0	0	4.22457859828123e-05	0	0.0051539858899035	0.000337966287863098	0.000211228929914061	0	0.0463436272231205	0	0
244	0	0.000580248346292055	0.136590460717345	0.00162469536961415	0.288905651618609	0	0	0	0	0	0	0	0.0164210282001156	0	0.533480329581103	0	0	0	0	0	0	0.00179876987350817	0	0	0	0	0	0	0	0.0010444470233241	0.00052222351166305	0	0	0.0190321457584258	0	0
245	0	0	0.0775116905200526	0.00085021964007248	0.394643616267759	0	0	0	0	0	0	0	0.00297576874025818	0	0.495252940342697	0	0	0	0	0	0	0.0042510982003674	0	0	0.00269236219356835	0	0	0	0	0.000283406546691827	0	0.000141703273345913	0	0.0213971942751869	0	0
246	0	3.33878668491353e-05	0.0247404093351725	0.00143567827451872	0.502754499015854	0	0	0	0	0	0	0	0.0017027812093122	0.00063436947013427	0.410670762244354	0	0	0	0	0	0	0.00904811191612796	0	0	0.00213682347834786	0	0	3.33878668491353e-05	0	0.00694467630463053	0.00160261760876089	0.000133551467396741	0.000133551467396741	0.0379953924742953	0	0
247	0	0.000137731561187409	0.0677639281041974	0.00234143654018296	0.206735073341952	0	0	0	0	0	0	0	0.00640451759520603	0.000413194683562228	0.646443082432324	0	0	0	0	0	0.000275463122374819	0.0014461813924633	0	0	0.00206597341780614	0	0	0	0	0.000550926244749637	0.000137731561187409	0	0	0.065284760002806	0	0
